"country","surveys","first_year","last_year","survey_regions"
"AGO",2,2015,2023,36
"BDI",2,2010,2016,22
"BEN",1,2017,2017,12
"BFA",3,2003,2021,39
"CIV",2,2012,2021,24
"CMR",3,2004,2018,34
"COD",3,2007,2023,48
"COG",2,2005,2011,16
"COM",1,2012,2012,3
"ETH",5,2005,2024,58
"GAB",2,2012,2019,21
"GHA",3,2008,2022,36
"GIN",3,2005,2018,24
"GMB",2,2013,2019,16
"KEN",4,2003,2022,71
"MDG",2,2004,2021,29
"MLI",4,2006,2023,33
"MOZ",3,2003,2022,33
"MRT",1,2020,2020,13
"MWI",4,2004,2024,12
"NAM",2,2006,2013,22
"NER",2,2006,2012,16
"NGA",5,2003,2024,30
"RWA",4,2005,2019,20
"SEN",10,2005,2023,77
"SLE",3,2008,2019,13
"SWZ",1,2006,2006,3
"TCD",1,2014,2014,20
"TGO",1,2013,2013,5
"TZA",4,2004,2022,34
"UGA",3,2006,2016,32
"ZAF",1,2016,2016,6
"ZMB",4,2007,2024,39
"ZWE",2,2010,2015,19
