"series","age_band","max_absolute_log_hr_change","rms_log_hr_change"
"cs","<1",0.0230081793583305,0.012065570074865
"cs","1-5",0.033202851410475,0.0143105713450826
"cs","12-23",0.035523590847664,0.0134099902511432
"cs","24-35",0.020873540933531,0.00711871189806652
"cs","36-47",0.02756180001122,0.0112653894255768
"cs","48-59",0.048949594099429,0.016843352026872
"cs","6-11",0.019651929016884,0.00760631864151765
"gamma14","<1",0.0194794770859393,0.00766083757020346
"gamma14","1-5",0.016798585260493,0.00862692420422695
"gamma14","12-23",0.043490236461816,0.0247163395209361
"gamma14","24-35",0.041312318321035,0.0273648648643146
"gamma14","36-47",0.025349739152761,0.0109830689909318
"gamma14","48-59",0.053826435814143,0.0152731578538386
"gamma14","6-11",0.025079738191842,0.0120174850506741
"gamma2","<1",0.0334084060326318,0.0131542612875764
"gamma2","1-5",0.02377187475061,0.0122022799669363
"gamma2","12-23",0.073808981653374,0.0433859111766026
"gamma2","24-35",0.08147759951491,0.0510118506914407
"gamma2","36-47",0.037668437936987,0.0228002280579776
"gamma2","48-59",0.049911694390262,0.0174615665310776
"gamma2","6-11",0.040016808747977,0.0190135729767033
